,id,colour,vehicle,nums
0,506887,რუხი,MERCEDES-BENZ C 220,1/8
1,510131,თეთრი,MOSKVICH 2140,
2,506610,შავი,VOLKSWAGEN JETTA,
3,506609,რუხი,MERCEDES-BENZ C 240,1/8
4,506609,რუხი,OPEL CORSA B,1/8
5,506674,შავი,MERCEDES-BENZ VIANO,
6,506724,თეთრი,FORD TRANSIT,
7,506593,რუხი,HONDA FIT,2/8
8,506697,რუხი,MERCEDES-BENZ C 180,8/8
9,506697,შავი,TOYOTA IPSUM,
10,509060,შავი,VOLKSWAGEN POLO 1.4,
11,510118,ლურჯი,FORD ESCAPE,7/8
12,510118,წითელი,FORD RANGER,6/8
13,506856,თეთრი,MERCEDES-BENZ SPRINTER 313 CDI,
14,506816,ლურჯი,BMW 520 I,6/8
15,506719,რუხი,OPEL ZAFIRA,1/8
16,506719,ლურჯი,VOLKSWAGEN GOLF,5/8
17,506722,თეთრი,FORD TRANSIT,
18,506833,რუხი,VOLKSWAGEN GOLF PLUS,1/8
19,507494,თეთრი,HONDA FIT,
20,507494,რუხი,TOYOTA HIGHLANDER 3.0,6/8
21,507869,შავი,MERCEDES-BENZ ML 350,
22,510411,რუხი,HONDA FIT,1/8
23,510411,წითელი,TOYOTA PRIUS,6/8
24,506663,თეთრი,NISSAN PRESAGE,
25,506663,იისფერი,VOLKSWAGEN GOLF III 2.8,8/8
26,506857,მწვანე,OPEL VECTRA,7/8
27,506653,ლურჯი,FORD FOCUS 1.6,8/8
28,506589,ლურჯი,MITSUBISHI SPACE STAR,6/8
29,506997,თეთრი,HYUNDAI H1,
30,506659,შავი,TOYOTA CALDINA,
31,506879,შავი,SATURN ASTRA,
32,506879,, TOYOTA RAV 4 ,
33,510126,თეთრი,HONDA FIT,
34,510126,რუხი,TOYOTA AQUA,1/8
35,510141,რუხი,BMW 318 I,1/8
36,510141,რუხი,MERCURY MARINER,1/8
37,506769,რუხი,TOYOTA PASSO,1/8
38,507329,რუხი,MERCEDES-BENZ E 220 CDI,1/8
39,506700,შავი,HONDA FIT,
40,507421,რუხი,NISSAN SERENA,3/8
41,507421,თეთრი,TOYOTA PRIUS,
42,510174,რუხი,MERCEDES-BENZ ML 320,1/8
43,510174,თეთრი,TOYOTA VITZ,
44,506760,ყვითელი,DAIHATSU CUORE,2/8
45,506859,რუხი,ჰონდა,
46,506982,რუხი,BMW 320 I,1/8
47,507423,რუხი,MERCEDES-BENZ CLK 240,1/8
48,507423,შავი,NISSAN QASHQAI,
49,506788,ლურჯი,MITSUBISHI AIRTREK,8/8
50,511261,რუხი,FORD TRANSIT,1/8
51,511261,მწვანე,LAND ROVER FREELANDER,8/8
52,506904,მწვანე,VOLKSWAGEN GOLF,7/8
53,507408,თეთრი,MERCEDES-BENZ SPRINTER,
54,506773,ლურჯი,HONDA FIT,4/8
55,507413,შავი,NISSAN FUGA,
56,507413,რუხი,VOLKSWAGEN GOLF,8/8
57,509062,რუხი,MERCEDES-BENZ C 300,5/8
58,506710,თეთრი,BMW 525 I,
59,506829,შავი,MERCEDES-BENZ E 320,
60,506774,რუხი,NISSAN TEANA,1/8
61,506909,რუხი,HONDA CIVIC HYBRID,1/8
62,509300,რუხი,NISSAN NOTE,5/8
63,506867,წითელი,HONDA CR-V 2.0I 16V 4WD,7/8
64,507181,ყავისფერი,TOYOTA PRIUS,1/8
65,520969,იისფერი,VOLKSWAGEN GOLF III CL 1.9 TDI,8/8
66,507640,შავი,BMW X 6,
67,510199,თეთრი,HYUNDAI SONATA,
68,510199,რუხი,NISSAN X-TRAIL,3/8
69,510199,შავი,TOYOTA PRIUS,
70,507222,,MERSEDES,
71,507222,რუხი,OPEL VECTRA 1.6,1/8
72,507372,რუხი,BMW 525 I,5/8
73,507372,თეთრი,NISSAN NOTE,
74,507163,მწვანე,OPEL OMEGA B,7/8
75,511042,რუხი,MERCEDES-BENZ E 220 DIESEL,1/8
76,507153,რუხი,BMW 320 I,1/8
77,507153,რუხი,VOLKSWAGEN TIGUAN,1/8
78,507592,რუხი,MERCEDES-BENZ E 220 DIESEL,1/8
79,507575,ნარინჯისფერი,SUZUKI SX 4,6/8
80,510205,რუხი,BMW X5 4.4,1/8
81,510205,რუხი,HONDA FIT,1/8
82,510205,რუხი,HYUNDAI SONATA,2/8
83,510205,ყავისფერი,MERCEDES-BENZ C 220 DIESEL,2/8
84,510205,შავი,MERCEDES-BENZ ML 63 AMG,
85,510205,ლურჯი,MERCEDES-BENZ VITO 110 CDI,7/8
86,510205,შავი,NISSAN LEAF,
87,510205,თეთრი,NISSAN TIIDA,
88,510205,რუხი,SUZUKI GRAND VITARA,1/8
89,510205,შავი,TOYOTA CAMRY,
90,510205,, ტოიოტა,
91,507749,ლურჯი,ZIL 431412,2/8
92,521068,შავი,MERCEDES-BENZ CLS 350,
93,508315,რუხი,VOLKSWAGEN GOLF,1/8
94,508467,რუხი,TOYOTA PRIUS C,7/8
95,507785,რუხი,VAZ 21063,2/8
96,507833,ყავისფერი,OPEL VECTRA,4/8
97,507829,რუხი,KIA SPORTAGE 2.0,2/8
98,507829,მწვანე,OPEL ASTRA,7/8
99,509066,რუხი,TOYOTA VITZ,1/8
100,509077,თეთრი,SKODA OCTAVIA,
101,507490,წითელი,MERCEDES-BENZ 1840,5/8
102,507725,წითელი,KIA SPORTAGE 2.0,7/8
103,508224,რუხი,NISSAN MARCH,1/8
104,507671,შავი,HYUNDAI SONATA,
105,507671,თეთრი,MERCEDES-BENZ SPRINTER,
106,507683,რუხი,MITSUBISHI PAJERO IO,2/8
107,507683,ლურჯი,OPEL FRONTERA,5/8
108,507208,რუხი,TOYOTA PRIUS,1/8
109,507767,რუხი,toyota,
110,507744,შავი,BMW X6 XDRIVE 50I,
111,507815,რუხი,RENAULT DUSTER,1/8
112,509205,წითელი,TOYOTA PRIUS C,6/8
113,507813,შავი,MERCEDES-BENZ E 280,
114,510251,რუხი,HONDA CIVIC,6/8
